Name,HG
carnitine(10:1),Car
carnitine(12:0),Car
carnitine(12:1),Car
carnitine(14:1),Car
carnitine(16:0),Car
CE(18:1),CE
CE(18:2),CE
CE(18:3),CE
CE(20:3),CE
CE(20:4),CE
CE(20:5),CE
CE(22:6),CE
Cer(d18:0_24:0),Cer
Cer(d18:0_24:0)-,Cer
Cer(d18:1_16:0),Cer
Cer(d18:1_22:0),Cer
Cer(d18:1_23:0),Cer
Cer(d18:1_24:0),Cer
Cer(d18:1_24:0)-,Cer
Cer(d18:1_24:1),Cer
Cer(d18:1_25:0),Cer
DG(16:0_18:1_0:0),DG
DG(16:0_18:2_0:0),DG
DG(18:0_18:1_0:0),DG
DG(18:1_0:0_18:1),DG
DG(18:1_18:2_0:0),DG
DG(18:2_0:0_18:2),DG
GalCer(d18:1_22:0),Gal/Glc Cer
GalCer(d18:1_23:0),Gal/Glc Cer
GalCer(d18:1_24:0),Gal/Glc Cer
GalCer(d18:1_24:1),Gal/Glc Cer
MG(18:2_0:0_0:0),MG
PC(0:0_14:0),LPC
PC(0:0_16:0)_A,LPC
PC(0:0_16:0)_B,LPC
PC(0:0_18:0)_A,LPC
PC(0:0_18:0)_B,LPC
PC(0:0_18:1)_A,LPC
PC(0:0_18:1)_B,LPC
PC(0:0_20:4),LPC
PC(14:0_16:0),PC
PC(14:0_18:2),PC
PC(14:0_18:3),PC
PC(14:0_20:4),PC
PC(14:0_20:5),PC
PC(14:0_22:6),PC
PC(15:0_0:0),LPC
PC(15:0_16:0),PC
PC(15:0_18:2),PC
PC(15:0_20:3),PC
PC(15:0_20:4),PC
PC(15:0_20:5),PC
PC(15:0_22:6),PC
PC(16:0_16:0)_A,PC
PC(16:0_16:0)_B,PC
PC(16:0_16:1),PC
PC(16:0_17:0)_A,PC
PC(16:0_17:0)_B,PC
PC(16:0_17:1);PC(15:0_18:1),PC
PC(16:0_18:0),PC
PC(16:0_18:1),PC
PC(16:0_18:2)_A,PC
PC(16:0_18:2)_B,PC
PC(16:0_18:3)_A,PC
PC(16:0_18:3)_B,PC
PC(16:0_20:1);PC(18:0_18:1),PC
PC(16:0_20:3)_A,PC
PC(16:0_20:3)_B,PC
PC(16:0_20:4)_A,PC
PC(16:0_20:4)_B,PC
PC(16:0_20:5),PC
PC(16:0_22:4);PC(18:1_20:3)_B,PC
PC(16:0_22:5);PC(18:0_20:5),PC
PC(16:0_22:5);PC(18:1_20:4)_A,PC
PC(16:0_22:6),PC
PC(16:0_O-16:0),PC O-
PC(16:1_0:0),PC
PC(16:1_18:1),PC
PC(16:1_18:2),PC
PC(16:1_20:4),PC
PC(16:1_20:5),PC
PC(16:1_22:5),PC
PC(16:1_22:6),PC
PC(17:0_0:0),LPC
PC(17:0_18:1)_A,PC
PC(17:0_18:1)_B;PC(16:0_19:1),PC
PC(17:0_18:2),PC
PC(17:0_20:3)_A,PC
PC(17:0_20:3)_B,PC
PC(17:0_20:4)_A,PC
PC(17:0_20:4)_B,PC
PC(17:0_20:5),PC
PC(17:0_22:5),PC
PC(17:0_22:6),PC
PC(17:1_0:0),LPC
PC(18:0_18:2);PC(18:1_18:1)_B,PC
PC(18:0_20:2),PC
PC(18:0_20:3)_A,PC
PC(18:0_20:3)_B,PC
PC(18:0_20:4),PC
PC(18:0_22:4),PC
PC(18:0_22:5)_A,PC
PC(18:0_22:5)_B,PC
PC(18:0_22:6),PC
PC(18:1_18:1)_A,PC
PC(18:1_18:2),PC
PC(18:1_20:3)_A,PC
PC(18:1_20:4)_B,PC
PC(18:1_20:5),PC
PC(18:1_22:6),PC
PC(18:2_0:0)_A,LPC
PC(18:2_0:0)_B,LPC
PC(18:2_18:2),PC
PC(18:2_18:3),PC
PC(18:2_19:0),PC
PC(18:2_20:4),PC
PC(18:2_20:5),PC
PC(18:2_22:5);PC(20:3_20:4)_A,PC
PC(18:3_0:0),PC
PC(19:0_20:4),PC
PC(20:0_20:4),PC
PC(20:2_0:0),LPC
PC(20:2_20:4);PC(18:1_22:5),PC
PC(20:3_0:0),PC
PC(20:3_20:4)_B,PC
PC(20:4_20:4),PC
PC(20:4_P-18:1),PC
PC(20:5_0:0),LPC
PC(22:4_0:0),LPC
PC(22:6_0:0),LPC
PC(O-16:0_0:0);PC(O-8:0_O-8:0),PC O-
PC(O-16:0_18:1),PC O-
PC(O-16:0_18:2),PC O-
PC(O-16:0_20:3),PC O-
PC(O-16:0_20:4),PC O-
PC(O-16:0_22:4),PC O-
PC(O-16:1_0:0),PC O-
PC(O-18:0_0:0),PC O-
PC(O-18:0_18:2),PC O-
PC(O-18:0_20:3),PC O-
PC(O-18:0_20:4),PC O-
PC(O-18:0_22:5),PC O-
PC(O-18:0_22:6),PC O-
PC(O-18:1_0:0),PC O-
PC(O-18:1_18:2),PC O-
PC(O-18:1_20:4),PC O-
PC(O-20:0_20:4),PC O-
PC(P-16:0_16:0),PC P-
PC(P-16:0_18:2),PC P-
PC(P-16:0_20:4),PC P-
PC(P-16:0_20:5),PC P-
PC(P-16:0_22:6),PC P-
PC(P-18:0_20:4),PC P-
PC(P-18:0_22:6),PC P-
PE(16:0_0:0),LPE
PE(16:0_18:0),PE
PE(16:0_18:1),PE
PE(16:0_18:2),PE
PE(16:0_20:4),PE
PE(16:0_20:5),PE
PE(16:0_22:5)_A;PE(18:1_20:4),PE
PE(16:0_22:6),PE
PE(18:0_0:0),LPE
PE(18:0_18:1),PE
PE(18:0_18:2),PE
PE(18:0_20:3),PE
PE(18:0_20:4),PE
PE(18:0_20:5)_B;PE(18:0_20:5),PE
PE(18:0_22:5),PE
PE(18:0_22:6),PE
PE(18:1_0:0),PE
PE(18:1_18:1),PE
PE(18:1_18:2),PE
PE(18:1_22:6),PE
PE(18:2_0:0)_A,LPE
PE(18:2_0:0)_B,LPE
PE(20:3_0:0),LPE
PE(20:4_0:0),LPE
PE(20:5_0:0),LPE
PE(22:6_0:0),LPE
PE(40:4),PE
PE(O-16:0_22:6),PE O-
PE(O-18:0_20:4),PE O-
PE(O-38:4),PE O-
PE(P-16:0_18:2),PE P-
PE(P-16:0_20:3),PE P-
PE(P-16:0_20:4),PE P-
PE(P-16:0_20:5),PE P-
PE(P-16:0_22:4),PE P-
PE(P-16:0_22:6),PE P-
PE(P-18:0_18:1),PE P-
PE(P-18:0_18:2),PE P-
PE(P-18:0_20:3),PE P-
PE(P-18:0_20:4)_A,PE P-
PE(P-18:0_20:4)_B,PE P-
PE(P-18:0_20:5),PE P-
PE(P-18:0_22:4),PE P-
PE(P-18:0_22:5)_A,PE P-
PE(P-18:0_22:5)_B,PE P-
PE(P-18:0_22:6),PE P-
PE(P-18:1_22:6),PE P-
PE(P-20:0_18:2),PE P-
PE(P-20:0_20:4),PE P-
PE(P-34:1),PE P-
PI(16:0_18:1);PI(16:1_18:0),PI
PI(16:0_18:2),PI
PI(16:0_20:3);PI(18:1_18:2)_B,PI
PI(16:0_20:4),PI
PI(18:0_18:1),PI
PI(18:0_18:2),PI
PI(18:0_20:3),PI
PI(18:0_20:4),PI
PI(18:0_22:5),PI
PI(18:0_22:6),PI
PI(18:1_18:2)_A,PI
PI(18:1_20:4)_A,PI
PI(18:1_20:4)_B,PI
SM(d16:1_16:0),SM
SM(d16:1_22:0),SM
SM(d16:1_24:1),SM
SM(d18:1_16:0)_A,SM
SM(d18:1_16:0)_B,SM
SM(d18:1_18:0);SM(d16:1_20:0),SM
SM(d18:1_22:0),SM
SM(d18:1_23:0),SM
SM(d18:2_14:0),SM
SM(d18:2_16:0)_A,SM
SM(d18:2_16:0)_B,SM
SM(d18:2_18:0),SM
SM(d18:2_18:1),SM
SM(d18:2_20:0),SM
SM(d18:2_22:0),SM
SM(d18:2_23:0),SM
SM(d18:2_24:0),SM
SM(d19:1_18:0),SM
SM(d19:1_24:1),SM
SM(d35:1),SM
TG(42:0),TG
TG(42:1),TG
TG(44:1),TG
TG(46:1),TG
TG(46:2),TG
TG(48:0),TG
TG(48:1),TG
TG(48:2),TG
TG(48:3),TG
TG(48:4),TG
TG(49:1),TG
TG(49:2),TG
TG(50:0),TG
TG(50:1),TG
TG(50:2),TG
TG(50:3),TG
TG(50:4),TG
TG(50:5),TG
TG(51:1),TG
TG(51:2),TG
TG(51:3),TG
TG(51:4),TG
TG(52:0),TG
TG(52:1),TG
TG(52:2),TG
TG(52:3),TG
TG(52:4),TG
TG(52:5),TG
TG(52:6),TG
TG(53:1),TG
TG(53:2),TG
TG(53:3),TG
TG(53:4),TG
TG(53:5),TG
TG(54:1),TG
TG(54:2),TG
TG(54:3),TG
TG(54:4),TG
TG(54:5)_A,TG
TG(54:5)_B,TG
TG(54:6),TG
TG(55:2),TG
TG(55:3),TG
TG(56:1),TG
TG(56:2),TG
TG(56:3),TG
TG(56:4),TG
TG(56:5),TG
TG(56:6),TG
TG(56:7)_A,TG
TG(56:7)_B,TG
TG(56:8)_A,TG
TG(56:8)_B,TG
TG(58:10),TG
TG(58:11),TG
TG(58:12),TG
TG(58:2),TG
TG(58:6),TG
TG(58:7),TG
TG(58:8),TG
TG(58:9),TG
TG(60:11),TG
TG(60:12),TG
TG(60:13),TG
1-methylhistamine,Met
alanine,Met
aminoisobutyric acid,Met
choline,Met
hypoxanthine,Met
inosine,Met
isoleucine/leucine,Met
malonic acid,Met
proline,Met
serine,Met
threonine,Met
trimethylamine N-oxide,Met
xanthine,Met
