abbrev,smi
carnitine(10:1),CCCC/C=C\CCCC(=O)OC(CC([O-])=O)C[N+](C)(C)C
carnitine(12:0),CCCCCCCCCCCC(=O)OC(CC([O-])=O)C[N+](C)(C)C
carnitine(12:1),CCCCC/C=C\CCCCC(=O)OC(CC([O-])=O)C[N+](C)(C)C
carnitine(14:1),CCCCCC/C=C\CCCCCC(=O)OC(CC([O-])=O)C[N+](C)(C)C
carnitine(16:0),CCCCCCCCCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C
CE(18:1),[C@]12(CC=C3C[C@@H](OC(=O)CCCCCCC/C=C\CCCCCCCC)CC[C@]3(C)[C@@]1([H])CC[C@]1(C)[C@@]([H])([C@@](C)([H])CCCC(C)C)CC[C@@]21[H])[H]
CE(18:2),[C@]12(CC=C3C[C@@H](OC(=O)CCCCCCC/C=C\C/C=C\CCCCC)CC[C@]3(C)[C@@]1([H])CC[C@]1(C)[C@@]([H])([C@@](C)([H])CCCC(C)C)CC[C@@]21[H])[H]
CE(18:3),[C@]12(CC=C3C[C@@H](OC(=O)CCCCCCC/C=C\C/C=C\C/C=C\CC)CC[C@]3(C)[C@@]1([H])CC[C@]1(C)[C@@]([H])([C@@](C)([H])CCCC(C)C)CC[C@@]21[H])[H]
CE(20:3),C(/C/C=C\C/C=C\CCCCC)=C/CCCCCCC(O[C@@H]1CC2=CC[C@@]3([H])[C@]4([H])CC[C@]([H])([C@]([H])(C)CCCC(C)C)[C@@]4(C)CC[C@]3([H])[C@@]2(C)CC1)=O
CE(20:4),C(/C/C=C\C/C=C\CCCCC)=C/C/C=C\CCCC(O[C@@H]1CC2=CC[C@@]3([H])[C@]4([H])CC[C@]([H])([C@]([H])(C)CCCC(C)C)[C@@]4(C)CC[C@]3([H])[C@@]2(C)CC1)=O
CE(20:5),C(/C/C=C\C/C=C\C/C=C\CC)=C/C/C=C\CCCC(O[C@@H]1CC2=CC[C@@]3([H])[C@]4([H])CC[C@]([H])([C@]([H])(C)CCCC(C)C)[C@@]4(C)CC[C@]3([H])[C@@]2(C)CC1)=O
CE(22:6),C(=C/C/C=C\C/C=C\C/C=C\C/C=C\CC)/C/C=C\CCC(O[C@@H]1CC2=CC[C@@]3([H])[C@]4([H])CC[C@]([H])([C@]([H])(C)CCCC(C)C)[C@@]4(C)CC[C@]3([H])[C@@]2(C)CC1)=O
Cer(d18:0_24:0),[C@](CO)([H])(NC(CCCCCCCCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)CCCCCCCCCCCCCCC
Cer(d18:0_24:0)-,[C@](CO)([H])(NC(CCCCCCCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)CCCCCCCCCCCCCCC
Cer(d18:1_16:0),[C@](CO)([H])(NC(CCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCCCC
Cer(d18:1_22:0),[C@](CO)([H])(NC(CCCCCCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCCCC
Cer(d18:1_23:0),[C@](CO)([H])(NC(CCCCCCCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCCCC
Cer(d18:1_24:0),[C@](CO)([H])(NC(CCCCCCCCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCCCC
Cer(d18:1_24:0)-,[C@](CO)([H])(NC(CCCCCCCCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C\CCCCCCCCCCCCC
