Lipid,p_adjust,Log2FCBeforevAfter,Flag
CE(18:1),0.002932209,-0.26354,-1
CE(18:2),0.0000425,-0.26482,-1
CE(18:3),0.0000249,-0.98337,-1
Cer(d18:1_24:0),0.000414807,-0.20389,-1
DG(16:0_18:2_0:0),0.009772056,-0.27651,-1
DG(18:1_0:0_18:1),0.0000572,-0.28772,-1
DG(18:1_18:2_0:0),0.0000175,-0.42309,-1
DG(18:2_0:0_18:2),0.000118986,-0.81356,-1
MG(18:2_0:0_0:0),0.0000942,-0.00295,-1
PC(0:0_16:0)_B,0.00014773,-0.11335,-1
PC(0:0_18:0)_A,0.0000425,-0.33663,-1
PC(0:0_18:0)_B,0.001192002,-0.14494,-1
PC(0:0_18:1)_A,0.00000985,-0.17362,-1
PC(0:0_18:1)_B,0.000221217,-0.25352,-1
PC(0:0_20:4),0.00000985,-0.28782,-1
PC(14:0_20:4),0.002243318,-0.15913,-1
PC(15:0_0:0),0.000274115,-0.16423,-1
PC(15:0_16:0),0.003401488,-0.19228,-1
PC(15:0_18:2),0.002605251,-0.26975,-1
PC(15:0_20:3),0.0000572,-0.20799,-1
PC(15:0_20:4),0.0000133,-0.20045,-1
PC(15:0_20:5),0.000221217,-0.26386,-1
PC(15:0_22:6),0.000337779,-0.29526,-1
PC(16:0_16:0)_B,0.000118986,-0.2839,-1
PC(16:0_16:1),0.000601504,-0.30294,-1
PC(16:0_17:0)_A,0.00448417,-0.25344,-1
PC(16:0_17:1);PC(15:0_18:1),0.0000249,-0.2485,-1
PC(16:0_18:0),0.002932209,-0.23173,-1
PC(16:0_18:1),0.0000175,-0.28342,-1
PC(16:0_18:2)_A,0.00000985,-0.28794,-1
PC(16:0_18:2)_B,0.000720665,-0.31147,-1
PC(16:0_18:3)_A,0.001192002,-0.22018,-1
PC(16:0_20:1);PC(18:0_18:1),0.00000985,-0.20948,-1
PC(16:0_20:3)_A,0.0000133,-0.32402,-1
PC(16:0_20:3)_B,0.000720665,-0.3185,-1
PC(16:0_20:4)_B,0.0000249,-0.32653,-1
